5,2,1,9,7,3,4,0,0,X,V,7
5,1,7,3,2,8,6,4,9,0,0,9
5,2,7,3,1,4,9,0,0,X,D,7
4,5,3,9,1,2,7,0,0,X,V,7
5,1,2,8,7,3,6,4,9,0,0,9
2,5,1,3,7,4,6,8,9,0,0,9
9,8,5,1,3,6,7,0,0,X,D,7
7,5,9,8,2,1,3,6,4,0,0,9
3,5,1,2,8,4,6,9,7,0,0,9
1,9,5,7,8,2,6,4,3,0,0,9
9,7,6,3,5,1,4,0,0,X,H,7
9,1,8,7,4,3,2,5,0,O,D,8
1,9,3,2,7,5,4,0,0,X,V,7
5,7,2,8,9,1,4,6,3,0,0,9
6,3,5,4,9,1,2,7,0,O,V,8
2,9,5,8,7,3,6,4,1,0,0,9
2,3,5,8,1,9,6,7,0,O,H,8
6,1,3,9,5,7,4,0,0,X,H,7
2,1,9,5,6,3,7,8,4,0,0,9
2,1,6,9,5,4,8,0,0,X,V,7
2,1,6,4,7,8,5,3,9,0,0,9
6,3,7,4,2,8,1,5,9,0,0,9
2,3,4,6,9,5,7,1,8,0,0,9
9,6,7,8,5,1,3,0,0,X,D,7
7,5,1,4,6,3,8,9,2,0,0,9
7,1,5,3,2,8,6,4,9,0,0,9
7,4,5,3,8,9,2,0,0,X,V,7
7,2,5,3,1,4,9,0,0,X,D,7
7,5,2,1,9,8,4,3,6,0,0,9
7,1,5,3,6,4,8,2,0,O,H,8
7,1,5,3,2,8,4,6,9,0,0,9
7,2,4,1,3,5,8,9,0,O,D,8
7,2,5,3,1,9,6,4,8,0,0,9
7,4,5,3,8,2,9,0,0,X,H,7
9,4,5,1,7,3,8,0,0,X,H,7
9,8,5,1,6,3,4,0,0,X,H,7
1,7,9,5,3,2,6,0,0,X,V,7
1,7,9,5,3,6,2,0,0,X,H,7
1,5,7,4,6,3,8,9,2,0,0,9
1,5,7,4,6,2,9,8,0,O,V,8
1,5,7,4,6,8,2,3,9,0,0,9
1,5,7,4,6,3,2,8,9,0,0,9
1,2,5,9,4,7,6,0,0,X,H,7
1,5,3,2,8,4,6,9,7,0,0,9
2,5,4,1,9,6,7,8,3,0,0,9
2,1,7,5,9,8,4,3,6,0,0,9
2,1,5,8,7,3,9,4,6,0,0,9
2,5,4,3,7,1,9,8,6,0,0,9
1,6,5,9,3,7,2,0,0,X,H,7
1,5,3,2,8,4,6,9,7,0,0,9
1,5,9,3,7,4,8,0,0,X,H,7
1,5,9,4,6,3,7,8,2,0,0,9
3,5,7,2,8,9,1,4,6,0,0,9
3,5,2,7,9,1,6,0,0,X,V,7
5,2,1,9,4,6,7,0,0,X,V,7
2,5,3,1,9,6,4,8,7,0,0,9
1,5,2,3,7,4,6,8,9,0,0,9
1,5,2,3,7,4,6,9,8,0,0,9
5,3,9,1,2,8,4,6,7,0,0,9
1,5,3,2,8,6,4,7,9,0,0,9
3,4,5,7,1,9,2,0,0,X,H,7
5,3,1,9,6,4,2,8,7,0,0,9
3,5,1,2,8,4,6,9,7,0,0,9
1,3,5,9,6,4,8,2,7,0,0,9
